"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","52","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","43","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","52","4","female","lt once a month","female","almost daily","male","once a week","male","once a week",NA,NA,"know each other","especially close","total strangers",NA,"especially close","especially close",NA,"know each other",NA,NA,"0",NA
"female","34","4","female","almost daily","male","almost daily","female","almost daily","female","almost daily",NA,NA,"especially close","total strangers","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"1","very good"
"male","22","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER","very good"
"male","26","6","female","almost daily","female","almost daily","male","almost daily","female","once a month","female","almost daily","total strangers","especially close","know each other","know each other","know each other","know each other","know each other","especially close","especially close","especially close","15",NA
"male","74","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","58","2","female","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","very good"
"male","32","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","48","2","male","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","39","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","38","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","excellent"
"male","29","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","good"
"female","67","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER",NA
"male","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poor"
"female","55","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","35","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"male","73","3","male","lt once a month","male","once a month","male","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,"very good"
"male","68","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","47","3","male","almost daily","female","almost daily","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"NO ANSWER","excellent"
"female","58","6","female","almost daily","female","once a week","female","once a month","male","once a month","male","once a week","know each other","know each other","know each other","especially close","know each other","know each other","know each other","especially close","know each other","know each other","NO ANSWER",NA
"male","29","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","55","3","male","once a week","female","almost daily","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"30",NA
"male","33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","26","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
"male","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","37","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","excellent"
"male","49","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA
"male","23","1","male","once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","47","3","male","almost daily","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"know each other",NA,NA,NA,NA,NA,"2","good"
"female","55","4","male","almost daily","female","once a week","male","lt once a month","male","once a month",NA,NA,"especially close","know each other","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,"0",NA
"male","74","1","male","lt once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"male","49","2","female","almost daily","male","lt once a month",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA
"male","40","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","very good"
"female","40","3","male","almost daily","female","almost daily","male","once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","55","2","male","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","48","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","57","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"female","59","4","female","once a month","male","once a week","female","almost daily","male","once a month",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"5",NA
"female","38","2","male","once a month","female","once a month",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","very good"
"female","33","3","female","almost daily","female","almost daily","male","almost daily",NA,NA,NA,NA,"total strangers","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"30",NA
"female","45","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excellent"
"female","41","4","female","almost daily","male","almost daily","male","once a month","female","almost daily",NA,NA,"especially close","know each other","especially close",NA,"total strangers","especially close",NA,"especially close",NA,NA,"5",NA
"female","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","66","5","male","lt once a month","male","lt once a month","male","lt once a month","male","once a month","male","once a month","especially close","especially close","total strangers","total strangers","especially close","total strangers","total strangers","total strangers","total strangers","especially close",NA,NA
"female","30","3","male","almost daily","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","48","6","male","once a week","male","once a month","male","once a week","male","once a week","male","once a week","especially close","especially close","especially close","know each other","especially close","especially close","total strangers","know each other","total strangers","total strangers","4","very good"
"male","32","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","33","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"female","69","5","female","almost daily","male","almost daily","male","once a week","male","once a week","male","lt once a month","especially close","especially close","especially close","know each other","especially close","especially close","know each other","especially close","know each other","know each other",NA,NA
"male","31","6","female","almost daily","male","almost daily","male","once a week","female","once a week","male","once a week","total strangers","total strangers","total strangers","total strangers","know each other","know each other","know each other","know each other","know each other","know each other","0",NA
"male","31","3","male","almost daily","male","once a week","female","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0",NA
"female","45","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","79","3","female","once a week","male","almost daily","female","once a week",NA,NA,NA,NA,"especially close","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","18","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","63","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","37","6","male","almost daily","male","once a week","female","once a month","female","once a month","female","once a week","especially close","know each other","know each other","know each other","know each other","know each other","total strangers","especially close","total strangers","total strangers","10","very good"
"female","33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","50","3","male","once a week","female","once a week","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"4",NA
"female","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","60","3","male","once a month","male","lt once a month","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0",NA
"female","74","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"female","34","2","male","almost daily","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","60","4","male","once a week","male","once a month","male","once a month","male","once a month",NA,NA,"total strangers","know each other","total strangers",NA,"know each other","know each other",NA,"know each other",NA,NA,"0","very good"
"male","35","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","35","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","47","4","female","once a week","female","almost daily","male","once a month","female","once a month",NA,NA,"total strangers","total strangers","total strangers",NA,"especially close","especially close",NA,"especially close",NA,NA,"3","excellent"
"male","62","3","female","almost daily","male","once a week","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"male","61","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","56","3","male","almost daily","female","almost daily","male","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"30",NA
"male","19","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"male","55","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","fair"
"female","32","2","male","almost daily","female","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","50","4","female","almost daily","male","almost daily","female","once a week","female","once a week",NA,NA,"especially close","know each other","know each other",NA,"know each other","know each other",NA,"especially close",NA,NA,"30",NA
"female","24","2","male","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","fair"
"female","50","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","55","4","female","almost daily","female","once a week","male","once a week","male","once a month",NA,NA,"know each other","know each other","know each other",NA,"know each other","especially close",NA,"total strangers",NA,NA,"25","excellent"
"male","49","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","28","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","61","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER","excellent"
"female","35","2","male","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"male","32","2","female","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"male","58","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"male","33","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"male","58","4","female","almost daily","female","almost daily","male","almost daily","male","once a month",NA,NA,"know each other","know each other","total strangers",NA,"total strangers","total strangers",NA,"total strangers",NA,NA,"0","very good"
"male","33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"male","25","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","67","6","male","once a week","male","once a month","male","almost daily","female","lt once a month","female","almost daily","know each other","know each other","total strangers","know each other","know each other","total strangers","know each other","know each other","know each other","total strangers","0","good"
"female","31","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"male","74","6","female","almost daily","female","once a week","male","once a week","female","once a week","male","once a week","especially close","especially close","especially close","know each other","total strangers","especially close","know each other","total strangers","know each other","especially close",NA,NA
"female","38","5","female","almost daily","male","lt once a month","female","once a month","female","almost daily","female","almost daily","especially close","especially close","know each other","know each other","especially close","know each other","know each other","know each other","know each other","especially close","10","good"
"male","69","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","35","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","59","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","good"
"male","76","2","male","once a week","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DONT KNOW"
"male",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","79","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"male","47","4","female","almost daily","male","once a week","female","once a week","male","almost daily",NA,NA,"know each other","especially close","especially close",NA,"total strangers","total strangers",NA,"especially close",NA,NA,"0",NA
"male","62","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","30","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","64","3","male","once a week","female","once a week","male","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,"excellent"
"male","18","3","male","almost daily","male","once a week","female","almost daily",NA,NA,NA,NA,"total strangers","especially close",NA,NA,"total strangers",NA,NA,NA,NA,NA,"2",NA
"male","64","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","38","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA
"male","49","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER",NA
"male","28","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA
"male","24","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","24","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA
"male","28","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA
"male","51","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","30","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DONT KNOW",NA
"female","44","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"female","34","5","female","once a month","male","once a month","male","almost daily","female","once a month","female","once a week","especially close","know each other","know each other","know each other","know each other","especially close","know each other","know each other","know each other","know each other","3",NA
"male","31","2","female","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"male","55","4","female","almost daily","female","once a month","male","once a month","female","once a week",NA,NA,"total strangers","know each other","know each other",NA,"total strangers","especially close",NA,"know each other",NA,NA,NA,NA
"male","23","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","36","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","26","4","female","once a week","female","once a week","female","once a month","female","once a week",NA,NA,"know each other","know each other","know each other",NA,"especially close","know each other",NA,"total strangers",NA,NA,NA,NA
"female","33","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","excellent"
"male","57","6","female","almost daily","female","almost daily","male","once a week","male","once a week","female","once a week","know each other","total strangers","total strangers","know each other","total strangers","total strangers","especially close","especially close","total strangers","total strangers","1",NA
"female","64","2","female","once a week","male","once a month",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","26","3","male","almost daily","female","once a week","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"0",NA
"female","28","4","male","almost daily","female","once a month","female","once a week","female","almost daily",NA,NA,"know each other","especially close","know each other",NA,"know each other","know each other",NA,"especially close",NA,NA,"0","very good"
"female","41","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","very good"
"male","70","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","40","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excellent"
"female","62","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","59","5","male","almost daily","female","almost daily","female","once a week","female","almost daily","female","once a week","especially close","know each other","know each other","know each other","know each other","know each other","know each other","total strangers","total strangers","total strangers","7",NA
"male","62","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"female","49","5","male","almost daily","female","almost daily","female","once a week","female","almost daily","female","almost daily","especially close","total strangers","know each other","especially close","know each other","know each other","especially close","know each other","know each other","know each other","3",NA
"male","44","3","female","almost daily","male","once a week","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"male","50","5","male","almost daily","male","almost daily","male","almost daily","male","once a week","male","almost daily","especially close","especially close","especially close","especially close","know each other","especially close","especially close","especially close","especially close","especially close","0",NA
"female","44","3","male","almost daily","female","once a month","male","lt once a month",NA,NA,NA,NA,"especially close","especially close",NA,NA,"know each other",NA,NA,NA,NA,NA,"1",NA
"male","28","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO ANSWER",NA
"female","24","4","female","almost daily","female","almost daily","female","once a week","female","almost daily",NA,NA,"especially close","know each other","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,"30",NA
"male","20","3","female","almost daily","male","once a week","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","38","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","24","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female","54","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","fair"
"male","49","4","male","almost daily","female","almost daily","female","almost daily","female","once a week",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"3",NA
"female","32","6","male","almost daily","male","almost daily","male","almost daily","female","almost daily","female","once a week","know each other","know each other","especially close","know each other","know each other","total strangers","know each other","know each other","know each other","know each other","4",NA
"female","27","4","male","almost daily","female","once a week","female","once a week","female","once a week",NA,NA,"especially close","especially close","especially close",NA,"know each other","know each other",NA,"especially close",NA,NA,"1","very good"
"male","25","3","male","once a week","female","almost daily","female","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","18","1","male","once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"female","36","6","female","almost daily","female","almost daily","female","almost daily","male","almost daily","male","once a week","especially close","especially close","total strangers","especially close","total strangers","especially close","total strangers","especially close","total strangers","know each other","4",NA
"male","19","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","60","6","male","once a month","female","once a week","female","once a week","male","once a month","male","lt once a month","especially close","especially close","especially close","know each other","especially close","especially close","know each other","especially close","know each other","know each other","3",NA
"female","39","6","male","almost daily","female","almost daily","male","once a week","female","once a week","female","once a week","especially close","especially close","total strangers","total strangers","especially close","total strangers","know each other","total strangers","know each other","know each other","10",NA
"male","28","4","female","almost daily","male","once a week","male","almost daily","female","almost daily",NA,NA,"know each other","know each other","know each other",NA,"total strangers","total strangers",NA,"especially close",NA,NA,"8",NA
"female","42","3","male","almost daily","female","almost daily","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","46","3","female","almost daily","male","once a week","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0","good"
"female","35","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"female","53","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"3","good"
"female","50","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","45","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","49","2","male","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"female","25","2","male","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","excellent"
"male","46","3","male","once a week","male","once a week","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"5",NA
"male","23","3","female","almost daily","male","once a week","male","almost daily",NA,NA,NA,NA,"especially close","total strangers",NA,NA,"know each other",NA,NA,NA,NA,NA,"2","excellent"
"female","39","3","male","almost daily","female","once a week","female","once a week",NA,NA,NA,NA,"total strangers","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"2",NA
"female","22","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","46","3","female","almost daily","male","once a week","male","almost daily",NA,NA,NA,NA,"know each other","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"5","fair"
"male","41","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","very good"
"male","56","1","male","lt once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","18","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","excellent"
"female","50","6","male","almost daily","male","almost daily","female","once a month","male","once a month","female","once a month","especially close","know each other","know each other","know each other","especially close","especially close","know each other","especially close","total strangers","total strangers","4",NA
"male","48","3","male","once a week","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","60","2","male","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"male","43","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","52","4","male","almost daily","female","once a week","female","once a month","female","once a week",NA,NA,"especially close","know each other","especially close",NA,"know each other","especially close",NA,"know each other",NA,NA,"15","very good"
"female","24","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","62","2","female","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"female","37","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","fair"
"male","54","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","24","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
